date,year,time_window,sector,energy_type,value_trillion_btu
1973-01-01,1973,1973-1989,residential,biomass,30.074
1973-01-01,1973,1973-1989,transportation,biomass,0
1973-01-01,1973,1973-1989,industrial,biomass,98.933
1973-01-01,1973,1973-1989,electric power,biomass,0.211
1973-01-01,1973,1973-1989,commercial,biomass,0.57
1973-02-01,1973,1973-1989,industrial,biomass,89.359
1973-02-01,1973,1973-1989,electric power,biomass,0.301
1973-02-01,1973,1973-1989,commercial,biomass,0.515
1973-02-01,1973,1973-1989,residential,biomass,27.164
1973-02-01,1973,1973-1989,transportation,biomass,0
1973-03-01,1973,1973-1989,transportation,biomass,0
1973-03-01,1973,1973-1989,residential,biomass,30.074
1973-03-01,1973,1973-1989,industrial,biomass,98.933
1973-03-01,1973,1973-1989,commercial,biomass,0.57
1973-03-01,1973,1973-1989,electric power,biomass,0.362
1973-04-01,1973,1973-1989,commercial,biomass,0.551
1973-04-01,1973,1973-1989,residential,biomass,29.104
1973-04-01,1973,1973-1989,transportation,biomass,0
1973-04-01,1973,1973-1989,electric power,biomass,0.24
1973-04-01,1973,1973-1989,industrial,biomass,95.741
1973-05-01,1973,1973-1989,electric power,biomass,0.258
1973-05-01,1973,1973-1989,industrial,biomass,98.933
1973-05-01,1973,1973-1989,commercial,biomass,0.57
1973-05-01,1973,1973-1989,residential,biomass,30.074
1973-05-01,1973,1973-1989,transportation,biomass,0
1973-06-01,1973,1973-1989,commercial,biomass,0.551
1973-06-01,1973,1973-1989,residential,biomass,29.104
1973-06-01,1973,1973-1989,electric power,biomass,0.215
1973-06-01,1973,1973-1989,transportation,biomass,0
1973-06-01,1973,1973-1989,industrial,biomass,95.741
1973-07-01,1973,1973-1989,residential,biomass,30.074
1973-07-01,1973,1973-1989,commercial,biomass,0.57
1973-07-01,1973,1973-1989,transportation,biomass,0
1973-07-01,1973,1973-1989,electric power,biomass,0.21
1973-07-01,1973,1973-1989,industrial,biomass,98.933
1973-08-01,1973,1973-1989,commercial,biomass,0.57
1973-08-01,1973,1973-1989,residential,biomass,30.074
1973-08-01,1973,1973-1989,electric power,biomass,0.341
1973-08-01,1973,1973-1989,industrial,biomass,98.933
1973-08-01,1973,1973-1989,transportation,biomass,0
1973-09-01,1973,1973-1989,electric power,biomass,0.385
1973-09-01,1973,1973-1989,transportation,biomass,0
1973-09-01,1973,1973-1989,commercial,biomass,0.551
1973-09-01,1973,1973-1989,industrial,biomass,95.741
1973-09-01,1973,1973-1989,residential,biomass,29.104
1973-10-01,1973,1973-1989,transportation,biomass,0
1973-10-01,1973,1973-1989,residential,biomass,30.074
1973-10-01,1973,1973-1989,commercial,biomass,0.57
1973-10-01,1973,1973-1989,electric power,biomass,0.393
1973-10-01,1973,1973-1989,industrial,biomass,98.933
1973-11-01,1973,1973-1989,industrial,biomass,95.741
1973-11-01,1973,1973-1989,residential,biomass,29.104
1973-11-01,1973,1973-1989,electric power,biomass,0.246
1973-11-01,1973,1973-1989,transportation,biomass,0
1973-11-01,1973,1973-1989,commercial,biomass,0.551
1973-12-01,1973,1973-1989,industrial,biomass,98.933
1973-12-01,1973,1973-1989,transportation,biomass,0
1973-12-01,1973,1973-1989,commercial,biomass,0.57
1973-12-01,1973,1973-1989,electric power,biomass,0.248
1973-12-01,1973,1973-1989,residential,biomass,30.074
1974-01-01,1974,1973-1989,residential,biomass,31.506
1974-01-01,1974,1973-1989,electric power,biomass,0.263
1974-01-01,1974,1973-1989,transportation,biomass,0
1974-01-01,1974,1973-1989,industrial,biomass,98.442
1974-01-01,1974,1973-1989,commercial,biomass,0.596
1974-02-01,1974,1973-1989,industrial,biomass,88.915
1974-02-01,1974,1973-1989,residential,biomass,28.457
1974-02-01,1974,1973-1989,electric power,biomass,0.181
1974-02-01,1974,1973-1989,transportation,biomass,0
1974-02-01,1974,1973-1989,commercial,biomass,0.538
1974-03-01,1974,1973-1989,industrial,biomass,98.442
1974-03-01,1974,1973-1989,transportation,biomass,0
1974-03-01,1974,1973-1989,commercial,biomass,0.596
1974-03-01,1974,1973-1989,electric power,biomass,0.184
1974-03-01,1974,1973-1989,residential,biomass,31.506
1974-04-01,1974,1973-1989,transportation,biomass,0
1974-04-01,1974,1973-1989,commercial,biomass,0.577
1974-04-01,1974,1973-1989,residential,biomass,30.489
1974-04-01,1974,1973-1989,electric power,biomass,0.25
1974-04-01,1974,1973-1989,industrial,biomass,95.266
1974-05-01,1974,1973-1989,transportation,biomass,0
1974-05-01,1974,1973-1989,residential,biomass,31.506
1974-05-01,1974,1973-1989,industrial,biomass,98.442
1974-05-01,1974,1973-1989,electric power,biomass,0.245
1974-05-01,1974,1973-1989,commercial,biomass,0.596
1974-06-01,1974,1973-1989,residential,biomass,30.489
1974-06-01,1974,1973-1989,electric power,biomass,0.279
1974-06-01,1974,1973-1989,industrial,biomass,95.266
1974-06-01,1974,1973-1989,commercial,biomass,0.577
1974-06-01,1974,1973-1989,transportation,biomass,0
1974-07-01,1974,1973-1989,residential,biomass,31.506
1974-07-01,1974,1973-1989,transportation,biomass,0
1974-07-01,1974,1973-1989,electric power,biomass,0.213
1974-07-01,1974,1973-1989,commercial,biomass,0.596
1974-07-01,1974,1973-1989,industrial,biomass,98.442
1974-08-01,1974,1973-1989,commercial,biomass,0.596
1974-08-01,1974,1973-1989,residential,biomass,31.506
1974-08-01,1974,1973-1989,transportation,biomass,0
1974-08-01,1974,1973-1989,electric power,biomass,0.22
1974-08-01,1974,1973-1989,industrial,biomass,98.442
1974-09-01,1974,1973-1989,transportation,biomass,0
1974-09-01,1974,1973-1989,electric power,biomass,0.304
1974-09-01,1974,1973-1989,commercial,biomass,0.577
1974-09-01,1974,1973-1989,residential,biomass,30.489
1974-09-01,1974,1973-1989,industrial,biomass,95.266
1974-10-01,1974,1973-1989,transportation,biomass,0
1974-10-01,1974,1973-1989,electric power,biomass,0.174
1974-10-01,1974,1973-1989,commercial,biomass,0.596
1974-10-01,1974,1973-1989,industrial,biomass,98.442
1974-10-01,1974,1973-1989,residential,biomass,31.506
1974-11-01,1974,1973-1989,transportation,biomass,0
1974-11-01,1974,1973-1989,industrial,biomass,95.266
1974-11-01,1974,1973-1989,electric power,biomass,0.174
1974-11-01,1974,1973-1989,residential,biomass,30.489
1974-11-01,1974,1973-1989,commercial,biomass,0.577
1974-12-01,1974,1973-1989,electric power,biomass,0.13
1974-12-01,1974,1973-1989,industrial,biomass,98.442
1974-12-01,1974,1973-1989,residential,biomass,31.506
1974-12-01,1974,1973-1989,commercial,biomass,0.596
1974-12-01,1974,1973-1989,transportation,biomass,0
1975-01-01,1975,1973-1989,industrial,biomass,90.305
1975-01-01,1975,1973-1989,residential,biomass,36.131
1975-01-01,1975,1973-1989,electric power,biomass,0.148
1975-01-01,1975,1973-1989,transportation,biomass,0
1975-01-01,1975,1973-1989,commercial,biomass,0.685
1975-02-01,1975,1973-1989,industrial,biomass,81.566
1975-02-01,1975,1973-1989,electric power,biomass,0.124
1975-02-01,1975,1973-1989,residential,biomass,32.634
1975-02-01,1975,1973-1989,transportation,biomass,0
1975-02-01,1975,1973-1989,commercial,biomass,0.619
1975-03-01,1975,1973-1989,commercial,biomass,0.685
1975-03-01,1975,1973-1989,industrial,biomass,90.305
1975-03-01,1975,1973-1989,residential,biomass,36.131
1975-03-01,1975,1973-1989,transportation,biomass,0
1975-03-01,1975,1973-1989,electric power,biomass,0.13
1975-04-01,1975,1973-1989,transportation,biomass,0
1975-04-01,1975,1973-1989,residential,biomass,34.965
1975-04-01,1975,1973-1989,electric power,biomass,0.119
1975-04-01,1975,1973-1989,industrial,biomass,87.392
1975-04-01,1975,1973-1989,commercial,biomass,0.663
1975-05-01,1975,1973-1989,electric power,biomass,0.182
1975-05-01,1975,1973-1989,commercial,biomass,0.685
1975-05-01,1975,1973-1989,industrial,biomass,90.305
1975-05-01,1975,1973-1989,transportation,biomass,0
1975-05-01,1975,1973-1989,residential,biomass,36.131
1975-06-01,1975,1973-1989,transportation,biomass,0
1975-06-01,1975,1973-1989,electric power,biomass,0.221
1975-06-01,1975,1973-1989,commercial,biomass,0.663
1975-06-01,1975,1973-1989,residential,biomass,34.965
1975-06-01,1975,1973-1989,industrial,biomass,87.392
1975-07-01,1975,1973-1989,residential,biomass,36.131
1975-07-01,1975,1973-1989,electric power,biomass,0.167
1975-07-01,1975,1973-1989,commercial,biomass,0.685
1975-07-01,1975,1973-1989,transportation,biomass,0
1975-07-01,1975,1973-1989,industrial,biomass,90.305
1975-08-01,1975,1973-1989,commercial,biomass,0.685
1975-08-01,1975,1973-1989,transportation,biomass,0
1975-08-01,1975,1973-1989,industrial,biomass,90.305
1975-08-01,1975,1973-1989,residential,biomass,36.131
1975-08-01,1975,1973-1989,electric power,biomass,0.201
1975-09-01,1975,1973-1989,electric power,biomass,0.19
1975-09-01,1975,1973-1989,transportation,biomass,0
1975-09-01,1975,1973-1989,commercial,biomass,0.663
1975-09-01,1975,1973-1989,industrial,biomass,87.392
1975-09-01,1975,1973-1989,residential,biomass,34.965
1975-10-01,1975,1973-1989,industrial,biomass,90.305
1975-10-01,1975,1973-1989,commercial,biomass,0.685
1975-10-01,1975,1973-1989,transportation,biomass,0
1975-10-01,1975,1973-1989,electric power,biomass,0.191
